Count,Period,Shipments,Costco,Share,A_National,F_National,Nprice,A_Drug,F_Drug,DrugP,A_Channel,F_Channel,ChannelP,A_Conventional,F_Conventional,ConvtP,A_Discount,F_Discount,DISCTP,A_Alberta,F_Alberta,A_BC,F_BC,A_MAN+SASK,F_MAN+SASK,A_MARITIMES,F_Maritimes,A_Ontario,F_Ontario,A_Quebec,F_Quebec,A_TL_West,F_TL_WEST,GB,GB_MM_Price, GDP ,,,Count,,,L29BPT,L31BPT,L38BPT,L36BT,L3045BPT,L45BPT,A_L3029BT,F_BT29,A_L31BT,F_BT31,A_31BUV,F_BUV31,L29BPU,L31BPU,L38BPU,L36BPU,L41BPU,L45BPU,,Pulse4,SP119,SP120,SP121,Pulse145,Pulse146,Pulse148
96,Oct/12/2013,535184.574,12240,0.022870614,420659,418877.03,5.616666667,129959,130159.01,6.156666667,290699,266769.52,5.38,162303,163198.93,6.826666667,258354,251507.01,4.966666667,57995,57586.86,42632,42963.42,29940,30049.3,22930,22048.4,173204,167975.4,93956,89416.57,131141,130183.07,290699,5.38,1615019,,,96,,,6.68,7.35,7.63,5.29,22.46,3.59,219621,218067.3537,100621,101804.4531,128961,130186.6445,5.08,5.73,5.35,3.55,6.72,3.48,,0,0,0,0,0,0,0
97,Oct/19/2013,394157.52,11340,0.028770224,416142,410045.51,5.616666667,124499,124342.83,6.18,291643,292107.06,5.383333333,165470,168424.88,6.756666667,250671,244409.73,4.95,58255,57916.01,43328,44641.19,30359,29888.74,21885,22787.52,174030,170239.51,88285,89175.96,131519,131137.73,291643,5.383333333,1616330,,,97,,,6.72,7.31,7.55,5.48,23.44,3.55,217980,214822.8636,101511,97758.95396,129539,125269.5432,5.16,5.73,5.37,3.76,6.98,3.45,,0,0,0,0,0,0,0
98,Oct/26/2013,425298.85,4032,0.009480392,403620,398916.09,5.726666667,123569,124314.79,6.383333333,280050,267098.03,5.433333333,174629,172489.95,6.76,228990,215398.89,4.996666667,58150,58141.57,43204,43463.19,29702,30226.8,22181,21989.96,167081,162191.51,83300,86963.65,130512,131472.49,280050,5.433333333,1617177,,,98,,,6.87,7.53,7.52,5.48,22.68,3.65,211791,210633.5519,97523,94937.93001,124329,120682.8695,5.26,5.9,5.32,3.78,6.81,3.55,,0,0,0,0,0,0,0
99,Nov/02/2013,285286.728,16200,0.056784976,397368,401988.19,5.763333333,120587,121870.34,6.393333333,276781,267262.29,5.49,175443,188010.44,6.55,221926,238673.56,5.183333333,58496,58064.47,43156,42249.52,28598,29696.72,21995,22215.87,164155,172953.4,80967,81259.99,129905,130635.62,276781,5.49,1617361,,,99,,,6.93,7.58,7.64,5.52,22.41,3.66,210936,210772.8608,94599,96474.22471,120774,123452.4261,5.33,5.94,5.45,3.93,6.77,3.57,,0,0,0,0,0,0,0
100,Nov/09/2013,540095.408,13320,0.024662309,398866,396554.49,5.833333333,124240,124109.67,6.44,274626,267426.54,5.57,179282,182913.7,6.66,219584,222195.96,5.223333333,59111,60064.07,43581,43566.52,27599,28805.99,22616,22073.91,164345,164850.87,81615,77336.06,130358,132599.93,274626,5.57,1616690,,,100,,,7.02,7.74,7.73,5.61,22.63,3.61,211546,210038.3762,94631,93991.53853,120525,120517.5548,5.39,6.08,5.46,3.89,6.93,3.53,,0,0,0,0,0,0,0
101,Nov/16/2013,359886.89,7380,0.020506443,388529,397856.42,5.846666667,120717,121002.91,6.486666667,267814,267590.8,5.576666667,186671,181279.4,6.52,201860,204993.5,5.313333333,57274,57469.36,44292,42537.85,27939,27999.97,21530,22547.87,159362,158603.04,78135,80719.43,127134,128451.96,267814,5.576666667,1615192,,,101,,,7.06,7.75,7.66,5.62,22.05,3.78,206238,210562.3945,93353,94032.84465,117851,120331.8944,5.43,6.14,5.41,3.91,6.86,3.66,,0,0,0,0,0,0,0
102,Nov/23/2013,480245.486,9024,0.01879039,380585,388872.38,5.79,118543,116125.84,6.373333333,262043,267755.06,5.583333333,182627,186048.16,6.43,197959,202400.96,5.32,54816,55165.72,40921,40805.85,28445,28274.29,21434,21719.02,158652,159865.89,76316,77901.3,123926,127823.02,262043,5.583333333,1613290,,,102,,,7.04,7.83,7.64,5.74,22.6,3.66,202006,206002.5762,88098,92955.60208,113144,118129.647,5.37,6.1,5.41,3.94,6.93,3.53,,0,0,0,0,0,0,0
103,Nov/30/2013,439980.4,2340,0.005318419,384929,381968.12,5.78,118194,119563.94,6.306666667,266737,267919.31,5.58,185650,186057.4,6.363333333,199280,199184.43,5.34,54765,55650.08,41936,41107.52,28700,28682.54,22035,21645.75,159440,159264.8,78055,76428.26,125650,125124.24,266737,5.58,1611448,,,103,,,7.02,7.79,7.72,5.72,22.74,3.71,205231,202367.0919,88539,88482.58234,113344,114236.7929,5.35,6.09,5.38,3.95,6.88,3.59,,0,0,0,0,0,0,0
104,Dec/07/2013,588134,8280,0.014078424,387804,385743.56,5.773333333,121732,124301.16,6.32,266072,268083.57,5.55,192227,186458.82,6.353333333,195576,200340.85,5.323333333,55313,56564.37,40748,41105.79,28341,28888.28,21945,22104.44,164310,159931.92,77142,77836.52,124149,126597.64,266072,5.55,1610130,,,104,,,7.01,7.89,7.72,5.66,22.38,3.71,204112,205137.5165,87952,88873.11472,114458,114424.513,5.29,6.06,5.22,3.89,6.75,3.59,,0,0,0,0,0,0,0
105,Dec/14/2013,628229.322,3240,0.005157352,389399,388242.27,5.736666667,119475,121802.93,6.24,269924,268247.82,5.533333333,189472,190594.75,6.286666667,199931,197289.3,5.296666667,55058,55771.82,41897,42526.2,27804,28598.63,24134,23700.42,163528,164054.86,76983,77097.16,127724,125342.88,269924,5.533333333,1609692,,,105,,,7.11,7.94,7.76,5.75,22.77,3.69,200098,204176.2436,87131,88385.88524,115252,115372.2992,5.24,6,5.11,3.79,6.74,3.56,,0,0,0,0,0,0,0
106,Dec/21/2013,569824.914,14400,0.02527092,420997,442079.67,5.693333333,126524,129896.24,6.286666667,294473,315735.18,5.456666667,199308,191026.95,6.306666667,221688,239973.63,5.213333333,58531,58951.46,46570,49269.7,29676,30346.42,27167,31760.68,181834,193466.24,77219,76968.4,136339,137774.1,294473,5.456666667,1610065,,,106,,,7.28,8.04,7.87,5.98,21.83,3.69,207475,215699.5967,92380,95226.69896,124384,127465.7563,5.14,5.97,4.82,3.52,6.58,3.55,,0,0,0,0,0,0,0
107,Dec/28/2013,175719.648,13320,0.075802565,423860,415904.71,5.663333333,142049,141512.77,6.173333333,281812,268576.33,5.41,206101,195204.2,6.216666667,217760,202464.2,5.19,60752,61319.68,47762,45891.03,29167,27916.02,28351,27994.57,182833,177951.57,74995,74152.73,134335,131453.45,281812,5.41,1611070,,,107,,,7.47,8.38,7.99,6.27,22.47,3.89,200206,200170.1778,88379,85767.03589,125925,114179.5606,5.07,5.88,4.84,3.44,6.72,3.7,,0,0,0,0,0,0,0
108,Jan/04/2014,328101.35,5760,0.017555551,368594,380990.37,5.83,119783,119117.38,6.286666667,248811,268740.59,5.59,183117,201328.89,6.353333333,185477,202738.76,5.353333333,54932,55615.82,41490,42183.37,28278,29265.07,19525,19987.22,151582,158976.92,72787,77793.42,124888,130863.09,248811,5.59,1612532,,,108,,,7.13,8.08,7.85,5.71,22.56,3.72,191472,195695.5396,82407,88792.42924,110105,124972.2639,5.34,6.05,5.25,4.05,6.82,3.61,,0,0,0,0,0,0,0
109,Jan/11/2014,462759.616,26820,0.057956656,377260,371546.56,5.836666667,120753,120955.19,6.363333333,256507,268904.84,5.57,189926,191665.89,6.38,187333,189033.13,5.343333333,56441,55495.76,41112,42141.7,29002,28547.8,20216,20188.78,155245,153279.35,75244,73570.45,126045,126028.01,256507,5.57,1614275,,,109,,,7.14,7.98,7.79,5.61,22.04,3.68,197342,193317.8971,83887,83707.19622,110793,111838.036,5.34,6.04,5.38,3.83,6.67,3.59,,0,0,0,0,0,0,0
110,Jan/18/2014,299498.302,15360,0.051285767,384039,379078.31,5.76,124783,123604.85,6.213333333,259257,269069.1,5.553333333,194743,188740.57,6.25,189297,190637.56,5.33,55664,56756.99,41191,41805.7,29376,29131.94,20606,20716.16,158398,156380.44,78804,75560.15,127282,127021.75,259257,5.553333333,1616138,,,110,,,7.11,7.98,7.78,5.5,22.24,3.66,200205,198360.4995,84029,84984.88286,111038,112431.5683,5.26,6.04,5.25,3.69,6.71,3.54,,0,0,0,0,0,0,0
111,Jan/25/2014,521260.362,3240,0.006215704,379388,384970.05,5.793333333,122762,122346.19,6.293333333,256627,269233.36,5.57,194495,193037.9,6.31,184894,192332.43,5.333333333,56081,56122.66,42396,42420.03,29826,29433.69,19958,21013.81,154142,159049.77,76987,78443.06,127884,128083.18,256627,5.57,1617973,,,111,,,7.17,7.99,7.83,5.77,17.68,3.6,196271,200819.9493,85217,85120.11291,112403,112656.7095,5.32,6.06,5.26,3.82,6.61,3.51,,0,0,0,0,0,0,0
112,Feb/01/2014,471026.274,8100,0.017196493,383632,380927.79,5.756666667,121346,123040.12,6.336666667,262286,269397.61,5.53,194773,194242.86,6.273333333,188858,188695.53,5.316666667,56702,56478.41,42411,43562.03,29905,29796.76,21268,20519.25,154909,155446.64,78438,76971.64,129479,128607.43,262286,5.53,1619634,,,112,,,7.18,8.06,7.86,5.78,13.67,3.51,198391,197440.4608,84098,86148.47419,112452,113813.2229,5.3,6.03,5.25,3.85,6.33,3.42,,0,0,0,0,0,0,0
113,Feb/08/2014,549092.728,20544,0.037414446,394578,384616.32,5.77,129447,124730.48,6.22,265130,269561.87,5.556666667,202682,194313.96,6.243333333,191896,192065.21,5.333333333,58149,57003.3,42597,42340.37,29635,29860.5,22721,21519.06,156468,156095.98,85007,78146.67,130314,129971.7,265130,5.556666667,1620972,,,113,,,7.27,8.07,7.84,5.69,12.94,3.64,203614,199261.6391,86940,85206.9944,116508,113875.3741,5.37,6.02,5.35,3.93,6.14,3.52,,0,0,0,0,0,0,0
114,Feb/15/2014,572417.552,16200,0.028301019,397953,394129.65,5.763333333,130843,125820.87,6.213333333,267108,269726.12,5.556666667,203103,198360.95,6.266666667,194849,194659.46,5.333333333,57991,58213.12,41473,40520.7,30940,29642.66,23240,22628,160701,157415.83,83607,83466.29,132001,130693.05,267108,5.556666667,1621910,,,114,,,7.28,8.09,7.78,5.67,12.48,3.66,202029,203748.4385,87797,87647.63013,118767,117269.6753,5.32,5.98,5.27,3.87,5.96,3.5,,0,0,0,0,0,0,0
115,Feb/22/2014,379188.098,27360,0.072154163,401632,397062.92,5.74,128965,129492.89,6.136666667,272668,269890.38,5.573333333,203071,200755.11,6.206666667,198563,197182.52,5.34,59193,58092.07,43363,43026.66,30244,30695.57,23696,23024.11,162380,160999.48,82761,82332.56,134342,132135.15,272668,5.573333333,1622549,,,115,,,7.27,8.08,7.77,5.71,12.44,3.68,202533,202386.8499,90871,88393.36576,122989,119169.6233,5.34,5.97,5.3,3.89,5.83,3.57,,0,0,0,0,0,0,0
116,Mar/01/2014,384695.168,36108,0.09386133,416442,413167.66,5.8,136209,133422.34,6.253333333,280233,270054.63,5.603333333,210566,200855.24,6.293333333,205876,200342.85,5.38,61866,59098.74,44922,44919.99,30564,30134.02,24798,23372.14,167356,168778.3,86935,81647.46,137892,134130.49,280233,5.603333333,1623020,,,116,,,7.37,8.15,7.86,5.74,12.83,3.65,208882,202819.8093,96254,91032.0956,128836,122701.9672,5.4,6.09,5.26,3.92,5.9,3.52,,0,0,0,0,0,0,0
117,Mar/08/2014,471259.306,32832,0.069668651,419873,416768.52,5.766666667,137782,137988.74,6.1,282091,270218.89,5.61,210907,204608.84,6.18,208967,206517.01,5.4,62144,61325.16,45946,45272.66,30391,30392.2,25033,24213.2,171211,169164.35,85150,85027.6,137146,137148.57,282091,5.61,1623454,,,117,,,7.32,8.17,7.82,5.78,12.84,3.65,210337,208273.8949,96631,95642.37422,129944,127585.6323,5.36,6.07,5.24,3.92,5.92,3.52,,0,1,0,0,0,0,0
118,Mar/15/2014,453682.316,27324,0.060227166,406639,403203.72,5.82,133125,130398.93,6.296666667,273513,270383.14,5.603333333,203928,206848.58,6.306666667,202710,209155.63,5.393333333,60647,61565.64,43675,43897.99,30451,30252.62,23851,24392.55,166885,163198.18,81132,83582.09,140143,136532.5,273513,5.603333333,1623962,,,118,,,7.31,8.12,7.79,5.78,11.94,3.62,205229,202277.0457,93616,95978.25995,124683,128528.4291,5.36,6.09,5.07,3.93,6.05,3.5,,0,0,1,0,0,0,0
119,Mar/22/2014,683448.432,34380,0.050303722,443451,404612.05,5.83,131254,132898.56,6.273333333,312197,270547.4,5.613333333,202749,203439.28,6.3,240703,216361.7,5.433333333,65549,60334.29,46551,43522.99,33784,30301.03,26084,23490.43,181877,166234.85,89603,80328.29,146079,139082.77,312197,5.613333333,1624613,,,119,,,7,7.37,7.7,5.72,11.69,3.59,230468,211361.1029,118023,100130.3314,143696,124174.8784,5.43,6.05,5.27,3.89,6.1,3.51,,0,0,0,1,0,0,0
120,Mar/29/2014,638574.736,18252,0.028582402,450778,436605.93,5.796666667,133697,133423.71,6.27,317080,270711.66,5.596666667,205780,200921.29,6.26,244995,237026.01,5.433333333,66198,64409,45546,42864.66,34783,32990.17,26132,25194.69,188244,178927.05,89875,87188.16,147863,144119.27,317080,5.596666667,1625465,,,120,,,6.95,7.24,7.76,5.76,11.63,3.54,237368,226817.2704,121363,115658.8178,144799,140007.1557,5.44,6.06,5.3,3.89,6.22,3.46,,0,0,0,0,0,0,0
121,Apr/05/2014,496778.106,50352,0.101357124,449800,442973.94,5.833333333,141012,137794.63,6.34,308788,270875.91,5.6,213439,202117.43,6.323333333,236362,239673.79,5.43,67008,66140.23,48452,44641.33,33811,33796.19,24201,25231.32,190767,184317.35,85561,87408.43,144615,145643.42,308788,5.6,1626578,,,121,,,7,7.29,7.84,5.76,11.85,3.53,236955,238300.3444,118465,117107.0906,142556,140945.7945,5.45,6.06,5.37,3.9,6.17,3.44,,0,0,0,0,0,0,0
122,Apr/12/2014,451800.638,34560,0.076493916,420031,442123.94,5.81,140445,137586.84,6.296666667,279585,271040.17,5.626666667,206927,206798.73,6.293333333,213103,224015.49,5.44,62348,64657.68,45807,43342.33,31096,33011.96,22329,23757.56,176750,186453.31,81700,83914.92,138132,142910.8,279585,5.626666667,1628002,,,122,,,7.12,7.54,7.79,5.78,11.65,3.48,219361,227617.3398,105626,109513.6019,130714,139101.9591,5.45,6.09,5.29,3.91,6.07,3.41,,0,0,0,0,0,0,0
123,Apr/19/2014,369701.926,15444,0.041774194,400022,416251.25,5.796666667,134865,137081.4,6.25,265157,271204.42,5.62,197146,205643.57,6.233333333,202877,212870.16,5.426666667,60417,61784.62,45449,43536.33,30756,30821.43,21662,22328.83,161354,174586.54,80386,80788.26,137568,137441.57,265157,5.62,1629695,,,123,,,7.24,7.59,7.73,5.74,11.7,3.71,205887,217275.842,98857,103728.5902,123970,129275.7655,5.45,6.05,5.23,3.84,6.05,3.58,,0,0,0,0,0,0,0
124,Apr/26/2014,489041.538,10080,0.020611746,388781,398861.12,5.713333333,127868,127659.31,6.176666667,260914,271368.68,5.546666667,186453,189614.14,6.193333333,202330,204357.04,5.37,61011,60193.4,46693,43554.66,30958,30547.11,20590,21819.76,159419,161552.31,70113,76711.35,136532,136979.45,260914,5.546666667,1631567,,,124,,,7.01,7.37,7.76,5.67,10.57,3.49,200440,205701.0509,99241,97962.83557,121758,123688.9783,5.32,6.01,5.25,3.87,4.95,3.36,,0,0,0,0,0,0,0
125,May/03/2014,411754.4,13056,0.031708222,392478,389091.39,5.686666667,122601,127191.71,6.166666667,269878,271532.93,5.516666667,188835,195548.7,6.123333333,203644,203949.18,5.35,59231,60695.91,45730,43915.66,30492,30710.09,23239,21001.6,162883,159914.14,70902,73844.84,135233,136118.05,269878,5.516666667,1633523,,,125,,,7.02,7.36,7.73,5.61,10.63,3.73,201165,201021.8252,98567,98304.69828,121611,121870.9219,5.27,5.97,5.11,3.82,4.69,3.57,,0,0,0,0,0,0,0
126,May/10/2014,402503.808,20880,0.051875286,394194,392304.51,5.713333333,123380,123600.26,6.273333333,270814,271697.19,5.503333333,187534,191686.45,6.236666667,206660,205099.73,5.32,60313,59229.9,44743,42632.66,30338,30334.11,23172,23023.35,161522,162846.76,74106,72043.97,135480,135034.17,270814,5.503333333,1635471,,,126,,,7.05,7.48,7.7,5.57,11.5,3.48,202929,201644.6338,95951,97743.1835,120248,121770.0829,5.27,5.97,5.13,3.8,5.05,3.38,,0,0,0,0,0,0,0
127,May/17/2014,504169.564,6480,0.012852819,398625,393795.91,5.66,125930,126076.53,6.146666667,272695,271861.45,5.443333333,188278,189117.93,6.17,210348,207675.55,5.25,60002,60137.06,43760,43474.66,30077,31242.6,22938,22972.21,165495,161694.54,76353,74638.59,132939,135258.11,272695,5.443333333,1637329,,,127,,,6.99,7.51,7.76,5.64,12.08,3.55,203232,203159.9917,96008,95523.48435,123249,120658.0399,5.21,5.85,5.17,3.81,5.29,3.45,,0,0,0,0,0,0,0
128,May/24/2014,459996.904,9720,0.021130577,391689,397646.96,5.696666667,120790,121299.05,6.266666667,270899,272025.7,5.45,184155,189132.34,6.28,207532,210814.11,5.233333333,58815,59889.14,43840,43660.99,28843,29166.04,22244,22793.62,163416,165058.08,74534,76458.22,131263,133123.58,270899,5.45,1639028,,,128,,,6.95,7.48,7.72,5.58,12.1,3.54,203207,203420.2827,94521,95586.13681,120384,123175.0219,5.26,5.87,5.26,3.93,5.54,3.44,,0,0,0,0,0,0,0
129,May/31/2014,386027.08,18648,0.048307492,389413,391618.78,5.693333333,120335,122118.15,6.293333333,269078,272189.96,5.453333333,183995,187267.96,6.26,205418,208506.18,5.236666667,59045,58914.85,42790,43647.33,28730,29003.66,22781,22263.95,160741,163298,75324,74985.19,130624,131720.78,269078,5.453333333,1640497,,,129,,,6.92,7.53,7.68,5.57,11.63,3.45,202822,203398.8066,94249,94330.43877,120149,120813.9423,5.26,5.91,5.26,3.87,5.75,3.36,,0,0,0,0,0,0,0
130,June/07/2014,576518.274,28440,0.049330613,385935,389640.67,5.723333333,125025,123722.28,6.41,260910,272354.21,5.496666667,186057,186049.73,6.316666667,199878,206786.1,5.293333333,60403,59115.53,41747,43309.66,29031,28912.49,22078,22673.8,158475,161033.35,74202,75624.93,129560,131195.21,260910,5.496666667,1641669,,,130,,,7.04,7.74,7.6,5.68,11.78,3.54,199526,203068.0737,90965,94112.17328,118017,120639.9241,5.3,5.97,5.26,3.95,5.41,3.44,,0,0,0,0,0,0,0
131,June/14/2014,470454.462,3096,0.006580871,379700,386617.89,5.693333333,124684,123715.71,6.14,255018,272518.47,5.483333333,185819,187040.68,6.153333333,193883,202197.07,5.29,57234,60251.55,41536,42924.99,28589,29155.34,21801,22137.26,155578,159114.95,74965,74716.33,128122,130310.13,255018,5.483333333,1642488,,,131,,,7.06,7.87,7.6,5.68,11.55,3.51,194851,200236.6568,86928,91322.09968,114720,118888.3943,5.25,5.96,5.18,3.91,5.21,3.43,,0,0,0,0,0,0,0
132,June/21/2014,439873.086,19872,0.045176667,383651,381198.96,5.713333333,129646,128779.1,6.123333333,254004,272682.72,5.503333333,189890,187490.3,6.14,193762,197227.02,5.31,56240,57633.78,41273,43194.33,30526,28798.72,21995,21925.85,155413,156662.36,78207,75334.21,128916,129108.66,254004,5.503333333,1642958,,,132,,,7.09,7.94,7.65,5.71,11.39,3.49,197361,196220.6149,87674,87889.07406,116221,116168.0712,5.29,5.99,5.22,3.99,5.55,3.39,,0,0,0,0,0,0,0
133,June/28/2014,472065.072,6552,0.013879442,383541,384632.83,5.653333333,124510,129137.55,6.116666667,259030,272846.98,5.446666667,184637,189468.23,6.126666667,198904,197175.89,5.256666667,57627,56819.52,41213,43514.66,31411,30361.54,22204,22073.91,156354,156522.67,74731,77959.61,129321,129795.33,259030,5.446666667,1643097,,,133,,,7.12,7.98,7.71,5.7,12.19,3.53,194639,198376.8214,85555,88540.0319,116197,117437.6798,5.24,5.88,5.2,3.94,5.73,3.43,,0,0,0,0,0,0,0
134,July/05/2014,166998.28,7704,0.046132212,380761,384537.23,5.613333333,120122,122824.65,6.076666667,260640,273011.23,5.43,180368,187954.82,6.083333333,200393,201532.04,5.243333333,56940,57979.59,41612,45128.33,29299,31075.58,22454,22233.42,155242,157319.32,75214,75144.72,128901,130152.93,260640,5.43,1642922,,,134,,,7.13,7.99,7.7,5.64,11.97,3.62,191970,196038.4971,83559,86744.69816,115535,117439.1254,5.21,5.78,5.17,3.94,5.78,3.51,,0,0,0,0,0,0,0
135,July/12/2014,391081.24,3780,0.009665511,394458,382121.09,5.6,128209,124263.34,6.063333333,266249,273175.49,5.43,190970,184362.03,6.086666667,203489,202829.14,5.216666667,58922,57419.89,42975,44419.99,28937,29371.57,22984,22424.23,160072,156377.9,80567,75535.86,131488,129812.63,266249,5.43,1642464,,,135,,,7.24,8.03,7.68,5.7,11.86,3.67,196345,193745.7022,87567,85054.38845,120970,116910.0215,5.24,5.81,5.13,3.89,5.69,3.55,,0,0,0,0,0,0,0
136,July/19/2014,504822.296,30312,0.060044892,391123,394025.36,5.593333333,127699,124197.84,6.093333333,263424,273339.75,5.416666667,191240,188505.95,6.103333333,199883,205471.95,5.2,58412,59073.33,42203,44322.66,29211,29079.5,23255,22828.73,159144,160466.97,78898,79870.75,130604,132016.08,263424,5.416666667,1641879,,,136,,,7.32,8.15,7.74,5.8,11.85,3.7,190743,193272.8816,86033,88490.61789,121004,121451.0748,5.21,5.79,5.13,3.81,5.53,3.57,,0,0,0,0,0,0,0
137,July/26/2014,486754.61,9408,0.019328014,399758,391126.86,5.616666667,132112,130127.98,6.133333333,267646,273504,5.426666667,198765,191567.55,6.143333333,200993,202502.47,5.206666667,58637,58660.4,44168,45792.66,30562,29300.57,23045,23035.56,161839,159681.33,81507,78519.18,133436,131283.26,267646,5.426666667,1641395,,,137,,,7.28,8.15,7.65,5.62,12.22,3.72,194954,196326.4053,87084,87194.78871,123531,121500.7522,5.18,5.74,5.16,3.73,5.79,3.55,,0,0,0,0,0,0,0
138,Aug/02/2014,537492.838,25380,0.047219234,409350,398631.67,5.546666667,132229,133512.45,5.88,277119,288551.01,5.416666667,200525,195419.57,5.953333333,208823,203482.19,5.21,60249,60807.66,45164,47021.99,29716,30390.59,23767,22875.29,170484,168766.24,79969,80631.97,137239,133693.96,277119,5.416666667,1641239,,,138,,,7.28,8.17,7.68,5.72,12.06,3.66,198584,200536.3592,89215,88106.172,127959,123623.5642,5.18,5.69,5.15,3.9,5.72,3.52,,0,0,0,0,0,0,0
139,Aug/09/2014,444157.87,11448,0.025774619,412833,406968.23,5.55,130439,128521.61,6.043333333,282394,288393.01,5.373333333,198716,198379.91,6.04,214117,210089.29,5.183333333,61019,60033.59,47503,47982.81,31389,29708.01,24090,23426.32,168634,163522.06,80198,79386.48,138318,136926.06,282394,5.373333333,1641638,,,139,,,7.2,8.08,7.59,5.61,12.16,3.63,202239,195796.0205,91123,89939.71757,128691,127327.2141,5.17,5.72,5.08,3.78,5.77,3.54,,0,0,0,0,0,0,0
140,Aug/16/2014,413118.328,10512,0.025445494,404145,409995.35,5.57,125238,125255.11,6.11,278908,273996.77,5.39,191304,197957.55,6.12,212841,214572.72,5.18,58965,59651.72,45409,46524.47,30601,31057.83,23519,23672.84,170125,167715.55,75527,79571.93,135279,137853.83,278908,5.39,1642685,,,140,,,7.11,7.98,7.63,5.61,12.46,3.5,201787,202567.2497,90399,91582.8537,124746,127957.3359,5.18,5.78,5.12,3.77,5.77,3.42,,0,0,0,0,0,0,0
141,Aug/23/2014,558443.238,15984,0.028622426,406777,402444.48,5.566666667,126477,125361.93,6.073333333,280300,274161.02,5.38,193209,193737.51,6.046666667,213569,213554.39,5.193333333,59165,59158.81,46299,46158.47,30179,30422.05,23589,23237.05,168977,168977.83,78569,75789.32,135054,135298.01,280300,5.38,1644237,,,141,,,7.02,7.81,7.65,5.65,12.35,3.42,206058,202178.9607,92153,90978.64622,125160,124698.1475,5.18,5.75,5.16,3.89,5.83,3.36,,0,0,0,0,0,0,0
142,Aug/30/2014,542333.61,18756,0.034583879,415866,404731.99,5.556666667,128307,125116.09,6.053333333,287559,274325.28,5.366666667,196566,192648.16,6.063333333,219301,214214.22,5.176666667,60470,59334.62,46795,46884.14,29724,30081.57,24948,23290.47,174812,168005.93,79119,78252.76,137019,135122.67,287559,5.366666667,1646127,,,142,,,6.98,7.91,7.62,5.52,12.62,3.43,210690,205847.9479,89899,92490.28884,124325,125063.8261,5.09,5.72,5.29,3.86,5.05,3.38,,0,0,0,0,0,0,0
143,Sep/06/2014,617736.818,576,0.000932436,411272,412631.38,5.633333333,123707,129139.53,6.163333333,287566,274489.53,5.433333333,191058,194859.11,6.173333333,220215,219064.44,5.226666667,60095,60426.69,46565,46570.81,30050,29714.47,23933,24327.68,171367,172945.83,79264,78698.15,135114,136799.94,287566,5.433333333,1648187,,,143,,,7.06,7.87,7.54,5.54,11.86,3.59,210292,209827.0508,91104,90579.68482,123366,124390.8585,5.2,5.81,5.36,3.95,5.13,3.51,,0,0,0,0,0,0,0
144,Sep/13/2014,564962.872,15156,0.026826542,409946,373971.96,5.683333333,128094,126649.44,6.236666667,281853,274653.79,5.456666667,195175,193020.64,6.233333333,214771,198191.31,5.24,58822,56405.84,44715,46892.81,29309,27216.72,23483,23553.02,174011,154183.61,79606,72619.23,149230,141930.09,281853,5.456666667,1650242,,,144,,,7.07,7.89,7.56,5.5,11.25,3.59,212631,209485.1503,90575,79733.57973,122487,114957.7129,5.27,5.83,5.46,4.04,5.43,3.52,,0,0,0,0,1,0,0
145,Sep/20/2014,418480.43,17760,0.042439261,602761,561376.42,5.043333333,132930,130999.92,6.23,469831,469830.96,4.736666667,201122,193567.18,6.26,401639,381835.75,4.49,71089,68178.5,54224,54224,40059,37465.22,34848,29513.87,291838,268450.58,110705,102095.79,166425,163107.22,469831,4.736666667,1652070,,,145,,,6.13,5.88,7.52,5.49,11.24,3.62,286663,279070.0282,162504,149829.7703,218624,209593.6066,4.61,4.37,5.48,4.13,5.65,3.55,,0,0,0,0,0,1,0
146,Sep/27/2014,430922.958,15732,0.036507686,586930,545740.93,5.14,129510,129866.03,6.253333333,457422,457421.96,4.856666667,193442,197688.79,6.306666667,393488,369834.67,4.633333333,72174,70352.63,55542,55542,38583,34986.75,34186,32410.38,281150,275703.43,105294,105367.96,159541,155617.28,457422,4.856666667,1653432,,,146,,,6.15,5.89,7.52,5.5,11.99,3.66,277929,269101.2834,158000,153838.8146,213622,202790.957,4.61,4.35,5.53,4.11,5.75,3.58,,0,0,0,0,0,0,0
147,Oct/04/2014,402546.288,13212,0.03282107,532396,556281.28,5.333333333,128794,129501.35,6.236666667,403602,403602.03,5.073333333,173539,177601.68,6.703333333,358856,330604.1,4.776666667,66942,68399.01,51040,48398.14,34482,35522.6,29086,29041.32,259296,252871.88,91551,99018.07,153603,148962.66,403602,5.073333333,1654087,,,147,,,6.37,6.3,7.53,5.45,12.1,3.64,259410,249146.7787,137718,132853.0856,186098,173106.9847,4.81,4.66,5.5,4.21,5.95,3.56,,0,0,0,0,0,0,1
148,Oct/11/2014,579796.442,18684,0.032225103,524652,536074.52,5.42,128110,127099.63,6.316666667,396544,396544.09,5.16,169724,178618.01,6.92,354930,360097.6,4.826666667,66790,67605.51,51463,51463,36512,33553.33,26093,26159.82,258293,265065.07,85504,88020.46,150046,148051.65,396544,5.16,1653820,,,148,,,6.44,6.38,7.5,5.54,12.39,3.66,257718,261738.0408,138246,142685.4726,183610,188786.2166,4.9,4.81,5.49,4.22,5.97,3.6,,0,0,0,0,0,0,0
